dataset,backend,N,seed,attack,policy,gate_bypass_rate,gate_bypass_n,gate_bypass_ub95,semantic_far,conditional_unsafe,accept_rate,mean_set_size,singleton_frac,coverage,top1_acc
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,signed,0.0,3968,0.0007560483870967742,0.001177,0.001307,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,pcsp,0.0,3968,0.0007560483870967742,0.001177,0.001307,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A4_epoch_rollback,raw,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A4_epoch_rollback,semantic,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A4_epoch_rollback,signed,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A4_epoch_rollback,pcsp,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,1,A1_replay,raw,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A1_replay,semantic,0.0,3968,0.0007560483870967742,0.001002,0.001112,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A1_replay,signed,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A1_replay,pcsp,0.0,3968,0.0007560483870967742,0.001002,0.001112,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A2_model_sub,raw,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A2_model_sub,semantic,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A2_model_sub,signed,0.0,3968,0.0007560483870967742,0.001102,0.001223,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A2_model_sub,pcsp,0.0,3968,0.0007560483870967742,0.001102,0.001223,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,raw,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,semantic,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,signed,0.0,3968,0.0007560483870967742,0.001102,0.001223,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,pcsp,0.0,3968,0.0007560483870967742,0.001102,0.001223,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A4_epoch_rollback,raw,1.0,3968,,0.001177,0.001177,1.0,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A4_epoch_rollback,semantic,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A4_epoch_rollback,signed,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,1,A4_epoch_rollback,pcsp,0.0,3968,0.0007560483870967742,0.001077,0.001196,0.900641,4.015,0.1259,1.0,0.9988
cicids,ML-DSA-65,128,2,A1_replay,raw,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A1_replay,semantic,0.0,3968,0.0007560483870967742,0.000977,0.001084,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A1_replay,signed,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A1_replay,pcsp,0.0,3968,0.0007560483870967742,0.000977,0.001084,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A2_model_sub,raw,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A2_model_sub,semantic,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A2_model_sub,signed,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A2_model_sub,pcsp,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,raw,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,semantic,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,signed,0.0,3968,0.0007560483870967742,0.000952,0.001056,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,pcsp,0.0,3968,0.0007560483870967742,0.000952,0.001056,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A4_epoch_rollback,raw,1.0,3968,,0.001027,0.001027,1.0,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A4_epoch_rollback,semantic,0.0,3968,0.0007560483870967742,0.000901,0.001001,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A4_epoch_rollback,signed,0.0,3968,0.0007560483870967742,0.000901,0.001001,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,2,A4_epoch_rollback,pcsp,0.0,3968,0.0007560483870967742,0.000901,0.001001,0.900641,4.143,0.0942,1.0,0.999
cicids,ML-DSA-65,128,3,A1_replay,raw,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A1_replay,semantic,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A1_replay,signed,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A1_replay,pcsp,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A2_model_sub,raw,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A2_model_sub,semantic,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A2_model_sub,signed,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A2_model_sub,pcsp,0.0,3968,0.0007560483870967742,0.000926,0.001029,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,raw,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,semantic,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,signed,0.0,3968,0.0007560483870967742,0.000876,0.000973,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,pcsp,0.0,3968,0.0007560483870967742,0.000876,0.000973,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A4_epoch_rollback,raw,1.0,3968,,0.001102,0.001102,1.0,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A4_epoch_rollback,semantic,0.0,3968,0.0007560483870967742,0.001027,0.00114,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A4_epoch_rollback,signed,0.0,3968,0.0007560483870967742,0.001027,0.00114,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,3,A4_epoch_rollback,pcsp,0.0,3968,0.0007560483870967742,0.001027,0.00114,0.900641,3.707,0.1083,1.0,0.9989
cicids,ML-DSA-65,128,4,A1_replay,raw,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A1_replay,semantic,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A1_replay,signed,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A1_replay,pcsp,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A2_model_sub,raw,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A2_model_sub,semantic,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A2_model_sub,signed,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A2_model_sub,pcsp,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,raw,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,semantic,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,signed,0.0,3968,0.0007560483870967742,0.001152,0.001279,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,pcsp,0.0,3968,0.0007560483870967742,0.001152,0.001279,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A4_epoch_rollback,raw,1.0,3968,,0.001302,0.001302,1.0,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A4_epoch_rollback,semantic,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A4_epoch_rollback,signed,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
cicids,ML-DSA-65,128,4,A4_epoch_rollback,pcsp,0.0,3968,0.0007560483870967742,0.001202,0.001335,0.900641,4.147,0.1029,1.0,0.9987
